Machine Name,Column1,Column2,Account Type,Account Category,Account Description,Service Account Type,Service Account Description,SPN Description,Compliance Status,Account State,Password Never Expires,Password Age,Password Last Set,Last Login Date,Account Expiration Date
Server195.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/Server195.bovishomes.local:1433 MSSQLSvc/Server195.bovishomes.local MSSQLSvc/Server195.bovishomes.local:DATAWAREHOUSE MSSQLSvc/Server195.bovishomes.local:51238,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
server175.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/server175.bovishomes.local:1433 MSSQLSvc/server175.bovishomes.local,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
Server210.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/Server210.bovishomes.local:1433 MSSQLSvc/Server210.bovishomes.local,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
Server199.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/Server199.bovishomes.local:1433 MSSQLSvc/Server199.bovishomes.local:BPCINSTANCE MSSQLSvc/Server199.bovishomes.local:50805,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
Server227.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/Server227.bovishomes.local MSSQLSvc/Server227.bovishomes.local:1433,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
ZSV0068.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/ZSV0068.bovishomes.local:49641 MSSQLSvc/ZSV0068.bovishomes.local:TESTSCOM,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
SERVER52.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/SERVER52.bovishomes.local:1433 MSSQLSvc/SERVER52.bovishomes.local:26256,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
ZSV0026.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/ZSV0026.bovishomes.local MSSQLSvc/ZSV0026.bovishomes.local:1433,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
server105.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/server105.bovishomes.local:SQLEXPRESS,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
SERVER23.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for use by SQL applications only,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/SERVER23.bovishomes.local:49634 MSSQLSvc/SERVER23.bovishomes.local:SQLEXPRESS,Non-Compliant,Enabled,Yes,700,09-Jan-2017 23:58:10,10-Dec-2018 07:00:01,N/A
ZSV0075.bovishomes.local,,,Domain: bovishomes.local,Service Account,Used to deploy the ConfigMgr agent to workstations and servers,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/ZSV0075.bovishomes.local:1433 MSSQLSvc/ZSV0075.bovishomes.local,Non-Compliant,Enabled,Yes,706,04-Jan-2017 09:13:13,10-Dec-2018 15:15:15,N/A
Server117.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for BOXI to run under,Service Principle Name (SPN),spnBOXI,spnBOXI/Server117.bovishomes.local,Non-Compliant,Enabled,Yes,2672,18-Aug-2011 10:29:54,13-Mar-2018 13:52:17,N/A
Server117.bovishomes.local,,,Domain: bovishomes.local,Service Account,Service account for BOXI to run under,Service Principle Name (SPN),MSSQLSvc,MSSQLSvc/Server117.bovishomes.local:49307 MSSQLSvc/Server117.bovishomes.local:SQLEXPRESS,Non-Compliant,Enabled,Yes,2672,18-Aug-2011 10:29:54,13-Mar-2018 13:52:17,N/A
BHL-VMM-001,,,Domain: bovishomes.local,Service Account,VMM Service Account,Service Principle Name (SPN),SCVMM,SCVMM/BHL-VMM-001,Non-Compliant,Enabled,Yes,322,23-Jan-2018 09:18:26,18-Nov-2018 16:05:50,N/A
BHL-VMM-001.bovishomes.local,,,Domain: bovishomes.local,Service Account,VMM Service Account,Service Principle Name (SPN),SCVMM,SCVMM/BHL-VMM-001.bovishomes.local,Non-Compliant,Enabled,Yes,322,23-Jan-2018 09:18:26,18-Nov-2018 16:05:50,N/A
fs3.bovishomes.co.uk,,,Domain: bovishomes.local,Service Account,ADFS Service Account,Service Principle Name (SPN),host,host/fs3.bovishomes.co.uk,Non-Compliant,Enabled,Yes,2104,08-Mar-2013 14:20:09,05-Dec-2018 10:18:34,N/A
fs2.bovishomes.co.uk,,,Domain: bovishomes.local,Service Account,ADFS Service Account,Service Principle Name (SPN),host,host/fs2.bovishomes.co.uk,Non-Compliant,Enabled,Yes,2104,08-Mar-2013 14:20:09,05-Dec-2018 10:18:34,N/A
fs.bovishomes.co.uk,,,Domain: bovishomes.local,Service Account,ADFS Service Account,Service Principle Name (SPN),host,host/fs.bovishomes.co.uk,Non-Compliant,Enabled,Yes,2104,08-Mar-2013 14:20:09,05-Dec-2018 10:18:34,N/A
