Machine Name,Machine Type,Application Server,Application Name,Site Name,Account Name,Hard-Coded in File,Hard-Coded Credential,Password Length,Target System Address,Target System Type,OS Version,Details
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,22,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,22,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,ChequeReq,,,,,13,SERVER175,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,ChequeReq,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server87,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server15,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server228.bovishomes.local,Server,IIS 8.5,CMS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,ChequeReq,,,,,13,SERVER175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,ChequeReq,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,TitaniumViewer,,,,,9,server87,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,22,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,SHS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,15,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,N/A,N/A,Windows Server 2012 R2 Standard,"Invalid Connection string 'Data Source=server195; Initial Catalog=System_ContactPreferences; User ID=Pref_User; Password=*****;34f4aa2;', can't parse connection string."
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,53,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,15,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,N/A,N/A,N/A,Windows Server 2012 R2 Standard,"Invalid Connection string 'Data Source=server195; Initial Catalog=System_ContactPreferences; User ID=Pref_User; Password=*****;34f4aa2;', can't parse connection string."
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,CMS,,,,,53,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,15,server175,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,server195,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,N/A,N/A,Windows Server 2012 R2 Standard,"Invalid Connection string 'Data Source=server195; Initial Catalog=System_ContactPreferences; User ID=Pref_User; Password=*****;34f4aa2;', can't parse connection string."
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,24,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
Server224.bovishomes.local,Server,IIS 8.5,N/A,,,,,53,tcp:azu-db-001.database.windows.net,Database,Windows Server 2012 R2 Standard,N/A
